,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CallName,filenum,channel,startutt,stoputt,duration,content,call_name,speaker_name,speaker_role
0,0,0,0,0,01-TUC-18040600,28,A,3.36,20.998,17.638,"Hi, this is Mez. I have somebody. Sir, hold on 1 second. Okay. He found a patient in the road at 8th and park who is bleeding profusely. This lady just came out screaming that everybody is gonna die, and she's screaming at the mail that's on the ground, so we're gonna hold off, okay.",01-TUC-18040600,A,operator
1,1,1,1,1,01-TUC-18040600,28,B,21.126,21.834,0.7079999999999984,Hello?,01-TUC-18040600,B,operator
2,2,2,2,2,01-TUC-18040600,28,C,22.574,23.334,0.759999999999998,Hello?,01-TUC-18040600,C,caller
3,3,3,3,3,01-TUC-18040600,28,B,23.494,27.314,3.82,Hi. Does he look like he's been stabbed or shot or what's going on?,01-TUC-18040600,B,operator
4,4,4,4,4,01-TUC-18040600,28,C,27.964,38.584,10.620000000000005,"Honestly, I couldn't. I couldn't see anything. I tried using my flashlight, I couldn't see anything. He's kind of like, rising in pain, but he's not responding to anything I say.",01-TUC-18040600,C,caller
5,5,5,5,5,01-TUC-18040600,28,B,39.524,41.424,1.8999999999999984,"Okay, how old do you think he is?",01-TUC-18040600,B,operator
6,6,6,6,6,01-TUC-18040600,28,C,42.924,46.428,3.503999999999998,"I don't know. I would say probably like in his forties, maybe early fifties.",01-TUC-18040600,C,caller
7,7,7,7,7,01-TUC-18040600,28,B,46.556,48.944,2.388000000000005,"Is he black, white, hispanic, Native American?",01-TUC-18040600,B,operator
8,8,8,8,8,01-TUC-18040600,28,C,50.284,52.396,2.112000000000002,I could not tell. I think he's white.,01-TUC-18040600,C,caller
9,9,9,9,9,01-TUC-18040600,28,B,52.58,56.892,4.312000000000005,"Okay, and where is he bleeding from again?",01-TUC-18040600,B,operator
10,10,10,10,10,01-TUC-18040600,28,C,56.948,62.984,6.036000000000001,I'm not 100% sure. There's just. There's a lot of blood kind of all over him. I can't tell where it could be.,01-TUC-18040600,C,caller
11,11,11,11,11,01-TUC-18040600,28,B,64.404,67.744,3.3400000000000034,"Okay, is a female, black, white, hispanic, Native American?",01-TUC-18040600,B,operator
12,12,12,12,12,01-TUC-18040600,28,C,69.484,72.744,3.260000000000005,I'm gonna go with hispanic or black.,01-TUC-18040600,C,caller
13,13,13,13,13,01-TUC-18040600,28,B,73.324,76.424,3.1000000000000085,"Okay. How old do you think she is? Twenties, thirties? Forties?",01-TUC-18040600,B,operator
14,14,14,14,14,01-TUC-18040600,28,C,77.284,84.722,7.437999999999988,"I honestly didn't get to. I can't get too good of a look. She's kind of like, talking to him, so, like, I don't know, like. But I just know that this guy definitely needs help.",01-TUC-18040600,C,caller
15,15,15,15,15,01-TUC-18040600,28,B,84.818,89.814,4.995999999999995,"Okay, we've already started the call. I just need as much information as possible. So is she with the male that's bleeding?",01-TUC-18040600,B,operator
16,16,16,16,16,01-TUC-18040600,28,C,90.954,92.386,1.4320000000000022,What was that? Say that again.,01-TUC-18040600,C,caller
17,17,17,17,17,01-TUC-18040600,28,B,92.57,97.814,5.244,So the. You said the Hispanic or black female is. Is with the guy that's bleeding in the street?,01-TUC-18040600,B,operator
18,18,18,18,18,01-TUC-18040600,28,C,98.874,104.33,5.456000000000003,"Yeah, but she was just screaming at him now, or she's like, talking to him, but like, he's not moving.",01-TUC-18040600,C,caller
19,19,19,19,19,01-TUC-18040600,28,B,104.442,106.494,2.0520000000000067,"Okay, but she said everyone's gonna die.",01-TUC-18040600,B,operator
20,20,20,20,20,01-TUC-18040600,28,C,107.514,108.294,0.7800000000000011,Yeah.,01-TUC-18040600,C,caller
21,21,21,21,21,01-TUC-18040600,28,B,110.674,112.454,1.779999999999987,Do you see any weapons in her hand?,01-TUC-18040600,B,operator
22,22,22,22,22,01-TUC-18040600,28,C,113.274,114.334,1.0600000000000025,I do not.,01-TUC-18040600,C,caller
23,23,23,23,23,01-TUC-18040600,28,B,115.474,117.254,1.7800000000000011,"Okay, is there anybody else around?",01-TUC-18040600,B,operator
24,24,24,24,24,01-TUC-18040600,28,C,118.674,120.734,2.059999999999988,Not that I can see anywhere near.,01-TUC-18040600,C,caller
