CallName,filenum,location,call,UpdatedCallName,channel,startutt,stoputt,duration,content,tier,emotion_rating,audio_quality,caller_gender,Total N,N Suspicious,N Investigation,Fluency1_mean,UrgencyVictim1_mean,UrgencySelf1_mean,Emotion1_mean,CogLoad1_mean,Impression1_mean,Information1_mean,Suspicion1_mean,Investigation1_mean,Fluency1_sd,UrgencyVictim1_sd,UrgencySelf1_sd,Emotion1_sd,CogLoad1_sd,Impression1_sd,Information1_sd,Suspicion1_sd,Investigation1_sd,Fluency1_max,UrgencyVictim1_max,UrgencySelf1_max,Emotion1_max,CogLoad1_max,Impression1_max,Information1_max,Suspicion1_max,Investigation1_max
01-TUC-1804060039,1,TUC,0,01-TUC-0,Operator female,1.88,2.86,0.98,"Tuscon police, [xxx]",1,0,5,male,23,3,2,1.57,4.13,1.91,1.74,1.3,2.87,1.57,1.43,1.74,0.59,0.69,1,0.86,0.63,1.32,1.08,1.08,1.51,3,5,4,4,3,5,5,5,6
01-TUC-1804060039,1,TUC,0,01-TUC-0,Operator 2 female,3.28,5.06,1.78,This is [xxx],1,0,5,male,23,3,2,1.57,4.13,1.91,1.74,1.3,2.87,1.57,1.43,1.74,0.59,0.69,1,0.86,0.63,1.32,1.08,1.08,1.51,3,5,4,4,3,5,5,5,6
01-TUC-1804060039,1,TUC,0,01-TUC-0,Caller male,4.965,5.745,0.78,I need somebody here.,1,0,5,male,23,3,2,1.57,4.13,1.91,1.74,1.3,2.87,1.57,1.43,1.74,0.59,0.69,1,0.86,0.63,1.32,1.08,1.08,1.51,3,5,4,4,3,5,5,5,6
01-TUC-1804060039,1,TUC,0,01-TUC-0,Operator 2 female,6.225,7.785,1.56,"Uh sir hold on one second, okay?",1,0,5,male,23,3,2,1.57,4.13,1.91,1.74,1.3,2.87,1.57,1.43,1.74,0.59,0.69,1,0.86,0.63,1.32,1.08,1.08,1.51,3,5,4,4,3,5,5,5,6
01-TUC-1804060039,1,TUC,0,01-TUC-0,Operator 2 female,7.875,19.305,11.43,"He saw a patient in the road on 8th and Park who is  bleeding profusely. This lady just came out screaming that everybody is going to die, and she's screaming at the man in the road, so we're going to hold off.",1,0,5,male,23,3,2,1.57,4.13,1.91,1.74,1.3,2.87,1.57,1.43,1.74,0.59,0.69,1,0.86,0.63,1.32,1.08,1.08,1.51,3,5,4,4,3,5,5,5,6
01-TUC-1804060039,1,TUC,0,01-TUC-0,Operator female,20.475,21.635,1.16,"Okay, hello?",1,0,5,male,23,3,2,1.57,4.13,1.91,1.74,1.3,2.87,1.57,1.43,1.74,0.59,0.69,1,0.86,0.63,1.32,1.08,1.08,1.51,3,5,4,4,3,5,5,5,6
01-TUC-1804060039,1,TUC,0,01-TUC-0,Caller male,22.845,23.095,0.25,Hello?,1,0,5,male,23,3,2,1.57,4.13,1.91,1.74,1.3,2.87,1.57,1.43,1.74,0.59,0.69,1,0.86,0.63,1.32,1.08,1.08,1.51,3,5,4,4,3,5,5,5,6
01-TUC-1804060039,1,TUC,0,01-TUC-0,Operator female,23.46,23.88,0.42,Hi.,1,0,5,male,23,3,2,1.57,4.13,1.91,1.74,1.3,2.87,1.57,1.43,1.74,0.59,0.69,1,0.86,0.63,1.32,1.08,1.08,1.51,3,5,4,4,3,5,5,5,6
01-TUC-1804060039,1,TUC,0,01-TUC-0,Operator female,24.305,26.905,2.6,Does it look like he's been stabbed or shot or what's going on?,1,0,5,male,23,3,2,1.57,4.13,1.91,1.74,1.3,2.87,1.57,1.43,1.74,0.59,0.69,1,0.86,0.63,1.32,1.08,1.08,1.51,3,5,4,4,3,5,5,5,6
01-TUC-1804060039,1,TUC,0,01-TUC-0,Caller male,25.045,25.425,0.38,Hi.,1,0,5,male,23,3,2,1.57,4.13,1.91,1.74,1.3,2.87,1.57,1.43,1.74,0.59,0.69,1,0.86,0.63,1.32,1.08,1.08,1.51,3,5,4,4,3,5,5,5,6
