,CallName,channel,startutt,stoputt,content
0,01-TUC-18040600,operator,1.88,2.86,"Tuscon police, [xxx]"
1,01-TUC-18040600,operator,3.28,5.06,This is [xxx]
2,01-TUC-18040600,caller,4.965,5.745,I need somebody here.
3,01-TUC-18040600,operator,6.225,7.785,"Uh sir hold on one second, okay?"
4,01-TUC-18040600,operator,7.875,19.305,"He saw a patient in the road on 8th and Park who is  bleeding profusely. This lady just came out screaming that everybody is going to die, and she's screaming at the man in the road, so we're going to hold off."
5,01-TUC-18040600,operator,20.475,21.635,"Okay, hello?"
6,01-TUC-18040600,caller,22.845,23.095,Hello?
7,01-TUC-18040600,operator,23.46,23.88,Hi.
8,01-TUC-18040600,operator,24.305,26.905,Does it look like he's been stabbed or shot or what's going on?
9,01-TUC-18040600,caller,25.045,25.425,Hi.
10,01-TUC-18040600,caller,28.055,38.38,"Honestly, I couldn't, I couldn't see anything um I tried using my flashlight I couldn't see anything. He's kinda like writhing in pain, but he's not responding to anything I say."
11,01-TUC-18040600,operator,39.625,41.145,Okay how old do you think he is?
12,01-TUC-18040600,caller,42.545,46.225,"Uh, I don't know, I would say probably in his 40's maybe, early 50's."
13,01-TUC-18040600,operator,46.685,48.725,"Is he Black, White, Hispanic, Native American?"
14,01-TUC-18040600,caller,49.895,52.035,Um I could not tell I think he's white.
15,01-TUC-18040600,operator,52.635,54.885,"Okay, and where is he bleeding from?"
16,01-TUC-18040600,caller,56.35,62.74,"Uh, again I, I'm not 100% sure. There's just, there's a lot of blood kinda all over him I can't tell where it would be. "
17,01-TUC-18040600,operator,64.46,67.57,"Okay is the female Black, White, Hispanic, Native American?"
18,01-TUC-18040600,caller,69.035,72.525,"Um, I'm gonna go with uh Hispanic or Black."
19,01-TUC-18040600,operator,73.32,76.09,"Okay, how old do you think she is? 20's, 30's, 40's?"
20,01-TUC-18040600,caller,77.395,84.805,"I honestly didn't get too I can't get too good of a look, she's kinda like talking to him, so like I don't know but I just know that this guy definetely needs help."
21,01-TUC-18040600,operator,84.86,90.04,"Okay, we've already started the call. I just need as much information as possible. So is she with the male that's bleeding?"
22,01-TUC-18040600,caller,90.91,92.46,What was that? Say that again.
23,01-TUC-18040600,operator,92.635,97.735,"So the, you said the Hispanic or Black female is is with the guy that's that's bleeding in the street?"
24,01-TUC-18040600,caller,98.87,104.225,Yeah but she was just screaming at him now. She's like talking to him but like he's like not moving.
25,01-TUC-18040600,operator,104.47,106.55,Okay but she said everyone is going to die?
26,01-TUC-18040600,caller,107.22,108.11,"Uh, yeah."
27,01-TUC-18040600,operator,110.925,112.245,Do you see any weapons in her hands?
28,01-TUC-18040600,caller,113.405,113.985,I do not.
29,01-TUC-18040600,operator,115.635,117.295,Okay is there anybody else around?
30,01-TUC-18040600,caller,118.095,120.57,Um not that I can see anywhere near.
31,01-TUC-18040600,operator,121.165,123.015,"I I can't hear you, you gotta talk into the phone, what?"
32,01-TUC-18040600,caller,123.88,126.86,"Um no not anywhere else that I can see, no."
33,01-TUC-18040600,operator,126.93,129.31,Okay do you know what house they came out of?
34,01-TUC-18040600,caller,130.15,143.04,"Um no actually I was just, I I deliver for Dominos. I was driving down 8th street and I just saw what you know what looked like a trash bag of dirt, but I stopped and it was some dude on the ground with a lot of blood around him."
35,01-TUC-18040600,operator,143.69,145.79,Okay how much blood do you think is there?
36,01-TUC-18040600,caller,146.975,150.235,"Uh, a good, a good amount more keep coming."
37,01-TUC-18040600,operator,150.875,153.055,Okay but you can't tell where he's bleeding from?
38,01-TUC-18040600,caller,153.765,157.815,No ma'am uh from what I'm hearing it sounds like he might have got hit by a car.
39,01-TUC-18040600,operator,158.36,158.72,Okay.
40,01-TUC-18040600,operator,164.52,165.09,What is your name?
41,01-TUC-18040600,caller,166.225,175.97, My name is Joseph Ballester. Ballester is spelled B-A-L-L-E-S-T-E-R. Joseph - regular spelling. 
42,01-TUC-18040600,operator,176.41,177.56,What is your telephone number?
43,01-TUC-18040600,caller,178.95,184.42,Um my phone number is going to be 520-917-7124.
44,01-TUC-18040600,operator,186.1,186.35,Okay.
45,01-TUC-18040600,operator,187.625,188.435,Are you still there?
46,01-TUC-18040600,caller,189.52,190.0,Yes ma'am.
47,01-TUC-18040600,operator,191.295,192.885,Is that him moaning in the background?
48,01-TUC-18040600,caller,194.27,196.55,"Uh no that is, that is her talking to him."
49,01-TUC-18040600,operator,196.98,197.53,Okay.
50,01-TUC-18040600,operator,198.795,201.34,Is he moving or can you tell if he's breathing?
51,01-TUC-18040600,caller,202.965,206.895,"It looks like he's, it looks like he's breathing, but he is not moving."
52,01-TUC-18040600,operator,207.14,207.75,Okay.
53,01-TUC-18040600,operator,210.635,212.225,Is she doing anything to him?
54,01-TUC-18040600,caller,213.47,215.2,I think she is praying.
55,01-TUC-18040600,operator,216.355,216.755,Okay.
56,01-TUC-18040600,operator,218.885,220.065,What kind of vehicle are you in?
57,01-TUC-18040600,caller,221.095,225.205,I'm in a 2015 Nissan Altima. It's gray.
58,01-TUC-18040600,operator,233.52,240.0,"Okay, if you can stay on the phone with me. If you feel like you're in danger, just let me know, but I'm gonna keep you on the phone until officers get there, okay?."
59,01-TUC-18040600,caller,240.91,243.3,"Yes ma'am not a problem, I wasn't going to go anywhere."
60,01-TUC-18040600,operator,243.865,246.445,Okay. Are they still in the middle of the street? Or where are they at?
61,01-TUC-18040600,caller,247.28,253.11,"I mean they're, they're like right on the corner right off the sidewalk um on the corner of like Park and 8th."
62,01-TUC-18040600,operator,256.23,259.04,"Okay, what corner are they on? East, west, north, south?"
63,01-TUC-18040600,caller,260.41,266.315,"I would say, I think it's south uh let's see it'd be uh southwest, if I'm correct."
64,01-TUC-18040600,operator,268.62,268.91,Okay.
65,01-TUC-18040600,operator,271.075,272.335,How far away are you from them?
66,01-TUC-18040600,caller,273.86,279.67,"I'm uh within 15 feet.I'm in my car though, I got my car shut so."
67,01-TUC-18040600,operator,283.765,286.39,Okay. Has he been moving or anything else?
68,01-TUC-18040600,caller,287.425,297.985,"Uh yes, he was he was moving, uh probably I'd say 5 minutes ago. And for the past 2 and a half, 3 minutes I haven't seen much movement from him. I'm kinda getting worried. "
69,01-TUC-18040600,operator,298.335,305.175,"Okay well we've got um officers in route to you okay. But you couldn't tell if he was bleeding from his head, his legs?"
70,01-TUC-18040600,caller,303.505,304.315,[xxx]
71,01-TUC-18040600,operator,305.585,308.025,Could you tell where the blood was coming from?
